Series_reference,Group
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AA,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AS,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
BDCQ.SEA1AT,Industry by employment variable
