Date,Company,Open,High,Low,Close,Volume,Daily_Return
2022-01-03,RELIANCE,2425.04,2428.4,2409.34,2412.31,151844,1.043
2022-01-04,RELIANCE,2487.0,2493.94,2461.86,2484.57,153513,3.096
2022-01-05,RELIANCE,2489.78,2493.75,2489.23,2491.04,203685,0.21
2022-01-06,RELIANCE,2470.97,2493.41,2436.07,2462.22,145501,-0.806
2022-01-07,RELIANCE,2390.75,2426.3,2390.17,2421.24,118196,-2.903
2022-01-10,RELIANCE,2439.67,2454.31,2416.55,2420.24,187504,0.761
2022-01-11,RELIANCE,2459.17,2486.25,2431.38,2440.89,99739,1.608
2022-01-12,RELIANCE,2460.32,2480.56,2430.29,2445.96,139220,0.796
2022-01-13,RELIANCE,2424.61,2426.22,2420.33,2422.66,162331,-0.873
2022-01-14,RELIANCE,2482.06,2500.39,2477.8,2479.8,176052,2.452
2022-01-17,RELIANCE,2475.31,2482.76,2438.71,2475.22,63312,-0.181
2022-01-18,RELIANCE,2440.82,2443.17,2430.59,2434.06,100279,-1.39
2022-01-19,RELIANCE,2463.62,2485.49,2441.58,2444.83,86185,1.214
2022-01-20,RELIANCE,2482.97,2499.42,2476.99,2496.05,189085,1.56
2022-01-21,RELIANCE,2485.03,2504.16,2454.91,2484.03,63656,-0.441
2022-01-24,RELIANCE,2546.56,2548.39,2521.0,2524.28,186260,2.517
2022-01-25,RELIANCE,2523.73,2563.22,2457.61,2460.3,100231,-0.022
2022-01-26,RELIANCE,2501.97,2537.47,2475.89,2507.21,232955,1.694
2022-01-27,RELIANCE,2523.38,2549.33,2487.59,2545.8,133545,0.645
2022-01-28,RELIANCE,2556.76,2574.79,2547.54,2564.55,166427,0.431
2022-01-31,RELIANCE,2579.02,2587.13,2543.64,2582.61,99580,0.564
2022-02-01,RELIANCE,2592.97,2599.67,2581.02,2593.1,195382,0.401
2022-02-02,RELIANCE,2609.75,2616.56,2609.62,2612.52,57199,0.642
2022-02-03,RELIANCE,2601.57,2630.09,2577.77,2590.54,128708,-0.419
2022-02-04,RELIANCE,2602.97,2655.61,2578.42,2653.43,107662,0.48
2022-02-07,RELIANCE,2729.26,2758.92,2701.84,2710.29,184207,2.858
2022-02-08,RELIANCE,2687.7,2689.96,2654.45,2678.62,109265,-0.834
2022-02-09,RELIANCE,2603.54,2654.7,2553.04,2613.29,190131,-2.803
2022-02-10,RELIANCE,2545.51,2562.52,2542.02,2562.18,175109,-2.594
2022-02-11,RELIANCE,2635.27,2658.48,2633.25,2654.32,175055,2.853
2022-02-14,RELIANCE,2746.25,2770.24,2746.0,2751.49,247700,3.463
2022-02-15,RELIANCE,2732.75,2744.44,2665.26,2731.59,195329,-0.681
2022-02-16,RELIANCE,2690.17,2698.83,2668.28,2693.25,181398,-1.517
2022-02-17,RELIANCE,2628.29,2673.25,2625.17,2673.07,202178,-2.412
2022-02-18,RELIANCE,2597.42,2628.35,2563.67,2621.7,72226,-2.83
2022-02-21,RELIANCE,2577.54,2601.27,2571.69,2596.86,194351,-1.684
2022-02-22,RELIANCE,2613.38,2632.05,2564.62,2608.58,172620,0.636
2022-02-23,RELIANCE,2634.61,2669.65,2633.94,2647.03,196188,0.998
2022-02-24,RELIANCE,2670.82,2695.94,2647.65,2665.41,76107,0.899
2022-02-25,RELIANCE,2674.52,2688.95,2634.44,2687.8,130525,0.342
2022-02-28,RELIANCE,2681.57,2704.95,2646.7,2685.67,190999,-0.232
2022-03-01,RELIANCE,2614.84,2631.2,2592.43,2603.32,193278,-2.637
2022-03-02,RELIANCE,2604.02,2608.98,2588.21,2603.74,84052,0.027
2022-03-03,RELIANCE,2586.87,2590.08,2567.72,2589.34,185291,-0.648
2022-03-04,RELIANCE,2546.78,2585.36,2535.41,2543.87,179015,-1.644
2022-03-07,RELIANCE,2588.72,2611.6,2584.74,2601.26,71862,1.763
2022-03-08,RELIANCE,2534.63,2553.66,2508.64,2546.84,195786,-2.561
2022-03-09,RELIANCE,2487.86,2511.72,2453.48,2470.57,98026,-2.316
2022-03-10,RELIANCE,2435.59,2440.35,2422.05,2438.28,198689,-1.416
2022-03-11,RELIANCE,2433.27,2452.07,2427.5,2441.71,172303,-0.205
2022-03-14,RELIANCE,2555.97,2603.69,2538.43,2540.42,176611,4.679
2022-03-15,RELIANCE,2459.75,2471.36,2432.96,2437.84,215592,-3.175
2022-03-16,RELIANCE,2412.67,2431.41,2411.52,2428.27,136277,-1.033
2022-03-17,RELIANCE,2454.67,2486.78,2405.81,2466.05,84203,1.087
2022-03-18,RELIANCE,2492.19,2513.77,2462.28,2470.33,208897,1.06
2022-03-21,RELIANCE,2455.04,2459.56,2440.86,2450.52,84288,-0.619
2022-03-22,RELIANCE,2555.75,2582.14,2516.92,2540.14,277818,4.294
2022-03-23,RELIANCE,2516.81,2525.35,2496.29,2498.95,140664,-0.918
2022-03-24,RELIANCE,2535.14,2550.35,2522.94,2540.75,176513,1.448
2022-03-25,RELIANCE,2435.63,2473.21,2403.4,2406.56,103612,-4.138
2022-03-28,RELIANCE,2407.85,2426.05,2361.29,2401.18,155008,0.054
2022-03-29,RELIANCE,2422.25,2450.65,2409.38,2437.33,67374,0.878
2022-03-30,RELIANCE,2408.56,2459.41,2392.02,2418.04,98726,-1.18
2022-03-31,RELIANCE,2422.68,2450.42,2408.35,2419.88,90192,0.192
2022-04-01,RELIANCE,2400.83,2403.51,2363.77,2389.83,149581,-0.787
2022-04-04,RELIANCE,2444.41,2458.81,2423.64,2427.79,171466,2.284
2022-04-05,RELIANCE,2454.72,2459.23,2452.5,2459.01,104895,1.109
2022-04-06,RELIANCE,2435.36,2476.24,2389.71,2439.54,145837,-0.962
2022-04-07,RELIANCE,2353.54,2382.27,2337.79,2379.19,150775,-3.525
2022-04-08,RELIANCE,2435.67,2454.29,2408.6,2442.4,146568,2.374
2022-04-11,RELIANCE,2507.4,2507.92,2490.3,2497.16,250498,2.661
2022-04-12,RELIANCE,2482.91,2492.64,2479.82,2488.5,110037,-0.571
2022-04-13,RELIANCE,2447.28,2447.62,2442.33,2445.26,160286,-1.657
2022-04-14,RELIANCE,2407.13,2425.68,2391.07,2418.4,154984,-1.559
2022-04-15,RELIANCE,2435.31,2476.1,2413.66,2467.79,55144,0.699
2022-04-18,RELIANCE,2493.51,2529.4,2483.95,2501.98,76262,1.042
2022-04-19,RELIANCE,2505.45,2534.91,2494.28,2529.35,184925,0.139
2022-04-20,RELIANCE,2456.67,2472.99,2423.26,2427.41,98855,-2.874
2022-04-21,RELIANCE,2470.26,2474.21,2469.79,2469.84,224137,1.765
2022-04-22,RELIANCE,2421.56,2460.06,2410.13,2448.44,111084,-1.955
2022-04-25,RELIANCE,2475.1,2513.03,2472.4,2484.01,92691,1.089
2022-04-26,RELIANCE,2505.21,2569.45,2476.58,2551.07,195030,0.853
2022-04-27,RELIANCE,2455.58,2470.29,2451.45,2464.55,225482,-3.743
2022-04-28,RELIANCE,2479.84,2491.54,2466.04,2473.55,170066,0.62
2022-04-29,RELIANCE,2517.94,2522.56,2462.81,2479.38,113732,1.795
2022-05-02,RELIANCE,2440.54,2470.05,2401.76,2417.42,96357,-1.567
2022-05-03,RELIANCE,2326.15,2334.59,2312.86,2316.4,237490,-3.775
2022-05-04,RELIANCE,2362.52,2380.05,2327.63,2349.55,129672,1.991
2022-05-05,RELIANCE,2347.27,2353.89,2340.33,2345.5,70992,-0.097
2022-05-06,RELIANCE,2295.19,2301.13,2266.91,2269.08,152877,-2.145
2022-05-09,RELIANCE,2197.86,2211.03,2197.74,2207.96,80036,-3.139
2022-05-10,RELIANCE,2211.14,2225.38,2181.16,2191.82,173753,0.144
2022-05-11,RELIANCE,2132.92,2144.34,2110.3,2122.49,238913,-2.687
2022-05-12,RELIANCE,2188.99,2189.02,2179.66,2184.12,131224,3.133
2022-05-13,RELIANCE,2236.72,2238.23,2190.63,2232.36,85864,2.409
2022-05-16,RELIANCE,2311.85,2346.27,2291.56,2303.21,178074,3.561
2022-05-17,RELIANCE,2313.72,2314.86,2276.45,2297.76,131481,0.456
2022-05-18,RELIANCE,2357.46,2362.18,2306.28,2350.09,151667,2.598
2022-05-19,RELIANCE,2440.84,2446.4,2436.09,2444.77,96981,3.862
2022-05-20,RELIANCE,2515.41,2553.72,2485.07,2499.43,248876,2.889
2022-05-23,RELIANCE,2524.93,2577.01,2465.8,2510.31,81627,1.02
2022-05-24,RELIANCE,2456.25,2470.01,2433.84,2448.73,184213,-2.154
2022-05-25,RELIANCE,2472.86,2473.24,2439.09,2467.15,177081,0.986
2022-05-26,RELIANCE,2493.26,2499.14,2491.35,2495.62,171048,1.058
2022-05-27,RELIANCE,2536.1,2543.39,2526.6,2532.0,85214,1.622
2022-05-30,RELIANCE,2491.81,2504.63,2461.79,2465.29,195630,-1.587
2022-05-31,RELIANCE,2460.99,2466.43,2445.87,2449.67,184541,-0.175
2022-06-01,RELIANCE,2488.0,2494.85,2430.73,2470.37,143043,1.565
2022-06-02,RELIANCE,2559.59,2566.05,2549.34,2563.45,120649,3.611
2022-06-03,RELIANCE,2524.51,2554.04,2482.63,2490.12,185543,-1.519
2022-06-06,RELIANCE,2504.31,2536.64,2465.23,2489.72,197909,0.57
2022-06-07,RELIANCE,2501.25,2527.65,2484.9,2506.21,80289,0.463
2022-06-08,RELIANCE,2585.8,2600.16,2531.9,2570.43,198656,3.176
2022-06-09,RELIANCE,2643.22,2662.03,2635.57,2651.64,226345,2.832
2022-06-10,RELIANCE,2578.8,2593.32,2562.02,2567.86,160773,-2.747
2022-06-13,RELIANCE,2544.13,2545.36,2522.99,2532.17,137998,-0.924
2022-06-14,RELIANCE,2573.82,2577.56,2527.62,2568.61,120456,1.645
2022-06-15,RELIANCE,2566.07,2618.5,2524.51,2550.83,149040,-0.099
2022-06-16,RELIANCE,2505.69,2521.69,2500.28,2515.43,151209,-1.769
2022-06-17,RELIANCE,2602.66,2619.28,2559.42,2568.66,209147,3.468
2022-06-20,RELIANCE,2536.45,2537.66,2514.63,2516.09,206269,-1.254
2022-06-21,RELIANCE,2498.0,2513.65,2472.7,2476.3,195531,-0.719
2022-06-22,RELIANCE,2532.33,2551.87,2514.01,2529.6,112912,2.263
2022-06-23,RELIANCE,2654.0,2658.51,2651.63,2652.88,260239,4.918
2022-06-24,RELIANCE,2663.94,2673.35,2649.77,2668.62,142442,0.417
2022-06-27,RELIANCE,2707.12,2722.65,2688.69,2710.21,200820,1.443
2022-06-28,RELIANCE,2758.79,2767.78,2725.65,2744.15,105789,1.792
2022-06-29,RELIANCE,2723.13,2774.07,2713.56,2758.8,214941,-0.766
2022-06-30,RELIANCE,2657.5,2683.99,2639.25,2642.23,194499,-3.672
2022-07-01,RELIANCE,2519.91,2542.21,2512.68,2540.43,214531,-4.629
2022-07-04,RELIANCE,2588.25,2616.48,2544.1,2585.58,120434,1.882
2022-07-05,RELIANCE,2585.2,2597.08,2563.23,2571.64,52412,-0.015
2022-07-06,RELIANCE,2576.61,2588.92,2564.27,2572.7,179126,0.193
